epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,4403.73,1.01627,0.68246,1.02412,0.63523,0.51224,0.53096,0.33781,1.00374,0.72006,1.18449,0.0074656,0.0074656,0.0074656
66,4470.98,1.00346,0.68959,1.02925,0.60379,0.52732,0.52414,0.33766,0.9938,0.72745,1.16057,0.007426,0.007426,0.007426
67,4538.37,1.02277,0.69296,1.02678,0.59735,0.52277,0.52384,0.34326,0.98934,0.70674,1.16056,0.0073864,0.0073864,0.0073864
68,4605.61,1.00572,0.6913,1.02546,0.61577,0.51956,0.52947,0.34272,0.98063,0.70866,1.16413,0.0073468,0.0073468,0.0073468
69,4672.83,0.9978,0.67055,1.02328,0.61225,0.55303,0.54804,0.35489,0.98984,0.66602,1.17055,0.0073072,0.0073072,0.0073072
70,4740.31,1.01388,0.68589,1.0211,0.61596,0.52456,0.52894,0.34722,0.99851,0.68637,1.18915,0.0072676,0.0072676,0.0072676
71,4807.6,1.00191,0.67751,1.02888,0.62708,0.53258,0.53298,0.33992,1.01286,0.68435,1.19231,0.007228,0.007228,0.007228
72,4874.91,0.99642,0.66947,1.02197,0.61539,0.51958,0.53187,0.34515,0.99073,0.68324,1.16119,0.0071884,0.0071884,0.0071884
73,4942.1,0.9831,0.66537,1.01318,0.62189,0.54297,0.53787,0.34835,0.96094,0.71075,1.15592,0.0071488,0.0071488,0.0071488
74,5009.36,0.99117,0.67004,1.0152,0.62292,0.53446,0.54627,0.35119,0.97783,0.68591,1.17177,0.0071092,0.0071092,0.0071092
75,5088.79,0.97824,0.656,1.01923,0.6097,0.5268,0.53212,0.34244,0.99403,0.71827,1.18474,0.0070696,0.0070696,0.0070696
76,5156.7,0.97871,0.656,1.01299,0.62107,0.5295,0.54724,0.35793,0.98659,0.70186,1.17076,0.00703,0.00703,0.00703
77,5224.26,0.97232,0.64649,1.00692,0.63639,0.53154,0.53897,0.34761,1.00696,0.71017,1.19886,0.0069904,0.0069904,0.0069904
78,5297.23,0.9843,0.65882,1.00609,0.6353,0.53755,0.53909,0.34742,0.98771,0.70327,1.18704,0.0069508,0.0069508,0.0069508
79,5365.2,0.96678,0.63361,1.00394,0.6207,0.52185,0.53486,0.34572,0.96687,0.71548,1.154,0.0069112,0.0069112,0.0069112
80,5432.59,0.97604,0.64093,1.00887,0.59389,0.53591,0.53339,0.34712,0.9657,0.70556,1.14358,0.0068716,0.0068716,0.0068716
81,5499.93,0.95681,0.63189,1.00204,0.62943,0.52007,0.53384,0.34839,0.97727,0.70061,1.15633,0.006832,0.006832,0.006832
82,5567.48,0.95716,0.64094,1.00352,0.62907,0.53157,0.54165,0.35072,0.9708,0.70512,1.1509,0.0067924,0.0067924,0.0067924
83,5634.85,0.97194,0.64665,1.00837,0.62538,0.53805,0.54083,0.34901,0.97847,0.67526,1.18789,0.0067528,0.0067528,0.0067528
84,5702.38,0.95333,0.63038,0.99838,0.62306,0.54007,0.54085,0.34987,0.95909,0.69207,1.15016,0.0067132,0.0067132,0.0067132
85,5769.57,0.94523,0.6335,0.99839,0.62537,0.52237,0.54158,0.35186,0.97739,0.69083,1.17726,0.0066736,0.0066736,0.0066736
86,5836.92,0.95396,0.62565,1.00705,0.64107,0.51539,0.54088,0.35083,0.98325,0.68118,1.20156,0.006634,0.006634,0.006634
87,5904.46,0.95279,0.62257,0.99413,0.6119,0.53378,0.53627,0.34785,0.97869,0.69898,1.18546,0.0065944,0.0065944,0.0065944
88,5971.82,0.94794,0.61926,0.99265,0.56961,0.54608,0.52921,0.34402,0.96357,0.6965,1.17841,0.0065548,0.0065548,0.0065548
89,6039.16,0.94983,0.61995,0.99519,0.59042,0.54388,0.54119,0.34859,0.98379,0.67994,1.19743,0.0065152,0.0065152,0.0065152
90,6106.53,0.93988,0.61721,0.99038,0.61623,0.54165,0.5445,0.35457,0.94944,0.67718,1.1548,0.0064756,0.0064756,0.0064756
91,6173.79,0.93302,0.60922,0.98469,0.58841,0.55478,0.54649,0.35626,0.95776,0.67086,1.16479,0.006436,0.006436,0.006436
92,6241.19,0.9428,0.61864,0.99174,0.63929,0.53004,0.54733,0.36174,0.95194,0.69291,1.16955,0.0063964,0.0063964,0.0063964
93,6308.5,0.92967,0.60565,0.98369,0.60194,0.56075,0.55103,0.36003,0.96717,0.67792,1.17207,0.0063568,0.0063568,0.0063568
94,6375.83,0.93588,0.61002,0.98959,0.63088,0.52868,0.54814,0.35867,0.95199,0.71608,1.16406,0.0063172,0.0063172,0.0063172
95,6443.26,0.93076,0.60774,0.99207,0.59602,0.55079,0.54956,0.35258,0.99734,0.69554,1.21238,0.0062776,0.0062776,0.0062776
96,6510.55,0.927,0.60768,0.9807,0.61935,0.54942,0.55223,0.35827,0.98207,0.68444,1.17667,0.006238,0.006238,0.006238
97,6577.88,0.92128,0.60156,0.98598,0.6178,0.54646,0.55547,0.36388,0.96269,0.66218,1.18447,0.0061984,0.0061984,0.0061984
98,6645.48,0.91389,0.59161,0.98201,0.629,0.52023,0.53983,0.35866,0.9786,0.66406,1.18473,0.0061588,0.0061588,0.0061588
99,6712.73,0.90568,0.59207,0.982,0.61971,0.53683,0.54066,0.35566,0.97184,0.68251,1.17388,0.0061192,0.0061192,0.0061192
100,6780.02,0.89974,0.58765,0.98091,0.63518,0.5488,0.55568,0.3596,0.9588,0.67686,1.17537,0.0060796,0.0060796,0.0060796
101,6847.27,0.92064,0.5954,0.98772,0.61599,0.53854,0.53688,0.34964,0.96798,0.68403,1.17641,0.00604,0.00604,0.00604
102,6914.55,0.91215,0.5851,0.97198,0.59972,0.53172,0.53895,0.35411,0.96472,0.6974,1.17858,0.0060004,0.0060004,0.0060004
103,6981.87,0.91168,0.59015,0.97726,0.67448,0.51023,0.54966,0.3597,0.95721,0.70683,1.17176,0.0059608,0.0059608,0.0059608
104,7049.21,0.91721,0.58966,0.97145,0.59928,0.5575,0.55388,0.3581,0.96821,0.69151,1.19125,0.0059212,0.0059212,0.0059212
105,7116.47,0.89924,0.57996,0.97733,0.63895,0.54421,0.55627,0.36183,0.95473,0.68049,1.17234,0.0058816,0.0058816,0.0058816
106,7184.05,0.90269,0.58568,0.97191,0.63463,0.54878,0.55626,0.36126,0.98097,0.67639,1.20509,0.005842,0.005842,0.005842
107,7251.34,0.88017,0.56356,0.97212,0.6228,0.5503,0.55341,0.35691,0.96942,0.6959,1.18613,0.0058024,0.0058024,0.0058024
108,7318.88,0.89068,0.57435,0.97229,0.63004,0.53599,0.55188,0.35963,0.95469,0.68104,1.1665,0.0057628,0.0057628,0.0057628
109,7386.19,0.89491,0.57547,0.97499,0.60482,0.54732,0.54826,0.35849,0.95685,0.68573,1.18612,0.0057232,0.0057232,0.0057232
110,7453.47,0.88878,0.56514,0.96976,0.64557,0.53416,0.55037,0.35876,0.98453,0.69017,1.20852,0.0056836,0.0056836,0.0056836
111,7520.94,0.8676,0.54987,0.96131,0.61077,0.54749,0.55202,0.35872,0.97392,0.68697,1.19103,0.005644,0.005644,0.005644
112,7588.28,0.88991,0.56345,0.96588,0.62831,0.53517,0.54662,0.36258,0.97869,0.66861,1.19699,0.0056044,0.0056044,0.0056044
113,7655.51,0.87938,0.56066,0.96906,0.63383,0.53469,0.54711,0.36254,0.95966,0.68275,1.18187,0.0055648,0.0055648,0.0055648
114,7722.97,0.86281,0.55876,0.9634,0.6184,0.5422,0.54961,0.35881,0.98199,0.6997,1.19522,0.0055252,0.0055252,0.0055252
115,7790.18,0.87818,0.56428,0.96549,0.61924,0.55393,0.5544,0.35956,0.97032,0.70262,1.19349,0.0054856,0.0054856,0.0054856
116,7857.55,0.88306,0.56126,0.96626,0.63079,0.55021,0.55938,0.35994,0.98265,0.70962,1.20759,0.005446,0.005446,0.005446
117,7924.8,0.8739,0.55765,0.96247,0.62004,0.55607,0.55351,0.35785,0.99391,0.69981,1.21777,0.0054064,0.0054064,0.0054064
118,7992.18,0.8819,0.56023,0.96096,0.65059,0.5344,0.55543,0.35695,0.99314,0.7206,1.20909,0.0053668,0.0053668,0.0053668
119,8059.68,0.86615,0.55106,0.95937,0.6226,0.5531,0.55469,0.35957,0.98998,0.70163,1.20368,0.0053272,0.0053272,0.0053272
120,8126.95,0.8592,0.54476,0.95945,0.61146,0.56207,0.55487,0.35955,0.97933,0.67505,1.19938,0.0052876,0.0052876,0.0052876
121,8194.31,0.87161,0.55081,0.95727,0.62771,0.54302,0.54946,0.35547,0.98874,0.69789,1.19806,0.005248,0.005248,0.005248
122,8261.82,0.85618,0.54422,0.95859,0.61086,0.55453,0.55239,0.35403,0.98173,0.68865,1.19729,0.0052084,0.0052084,0.0052084
123,8329.1,0.86451,0.54806,0.9589,0.64,0.54354,0.55252,0.35989,0.97209,0.66288,1.18728,0.0051688,0.0051688,0.0051688
124,8396.45,0.85609,0.54751,0.95139,0.64233,0.53729,0.55406,0.35939,0.96736,0.67189,1.18775,0.0051292,0.0051292,0.0051292
125,8463.75,0.85995,0.5453,0.95922,0.61436,0.54605,0.5547,0.36398,0.97221,0.66993,1.19237,0.0050896,0.0050896,0.0050896
126,8531,0.84906,0.53376,0.95165,0.59967,0.55193,0.55581,0.36157,0.98701,0.67831,1.21267,0.00505,0.00505,0.00505
127,8598.44,0.84129,0.53481,0.94614,0.62155,0.55627,0.56415,0.36626,0.97145,0.6695,1.20001,0.0050104,0.0050104,0.0050104
128,8665.8,0.84968,0.53177,0.94832,0.62481,0.5494,0.56054,0.36533,0.95717,0.64929,1.17724,0.0049708,0.0049708,0.0049708
129,8733.4,0.839,0.53069,0.94878,0.63671,0.55141,0.56104,0.36332,0.97085,0.66692,1.19693,0.0049312,0.0049312,0.0049312
130,8800.91,0.84041,0.53641,0.95262,0.63415,0.55273,0.56033,0.36187,0.98232,0.65918,1.21815,0.0048916,0.0048916,0.0048916
131,8868.23,0.84269,0.52701,0.94799,0.59084,0.56034,0.55495,0.36539,0.96439,0.67751,1.20793,0.004852,0.004852,0.004852
132,8935.62,0.8383,0.53381,0.95268,0.58107,0.55924,0.55405,0.362,0.96256,0.67748,1.19882,0.0048124,0.0048124,0.0048124
133,9002.8,0.83572,0.52681,0.94617,0.62205,0.55745,0.56016,0.36512,0.97336,0.68861,1.20704,0.0047728,0.0047728,0.0047728
